API Name,Purpose/Description,Documentation Link,CORS Support
Lorem Picsum,"提供随机图片占位符服务，从 Unsplash 获取随机照片，可指定分辨率",https://picsum.photos,未知
PlaceKitten,"返回指定尺寸的猫咪照片占位图，用于网页设计测试",https://placekitten.com,是
PlaceDog,"提供不同尺寸的狗狗图片占位符",https://place.dog,是
PlaceBear,"生成指定大小的熊熊主题占位图",https://placebear.com,是
PlaceKeanu,"返回 Keanu Reeves 的占位图片，可调节灰度和年龄选项",https://placekeanu.com,未知
BaconMockup,"提供培根图片占位符，可指定宽高",https://baconmockup.com,是
Biriyani as a Service,"获取一张印度菜“鸡油饭(Biriyani)”的照片，占位用途",https://biriyani.anoram.com,否
Coffee API,"随机返回咖啡饮品照片",https://coffee.alexflipnote.dev,未知
Cat as a Service (Cataas),"提供各种猫咪图片的生成和加工，例如加字幕等",https://cataas.com,未知
HTTP Cat,"返回对应 HTTP 状态码的猫咪表情图片",https://http.cat,是
HTTP Dog,"返回对应 HTTP 状态码的汪星人表情图片",https://http.dog,是
Dog API (dog.ceo),"基于斯坦福狗狗数据集的开放接口，提供随机狗照片和按品种查询等",https://dog.ceo/dog-api,是
RandomFox,"返回随机狐狸图片",https://randomfox.ca,否
RandomDuck,"返回随机鸭子图片",https://random-d.uk,否
Shibe.online,"提供随机柴犬、猫咪或鸟类图片",http://shibe.online/api,是
Waifu.pics,"提供二次元动漫人物图片，可以按类型（如老婆/情侣）获取，无需鉴权",https://waifu.pics/docs,否
Waifu.im,"获取动漫角色美女图片，包含标签过滤等，适合二次元项目",https://waifu.im/docs,是
Meme Maker,"创建自定义表情包的 API，可提供文字和选择模板图片来生成新 Meme",http://mememaker.github.io,未知
Imgflip API,"获取热门 Meme 模板列表及生成 Meme 图片（无需登录获取模板列表，生成图片需要账号）",https://api.imgflip.com,未知
QuickChart,"在线生成图表或二维码等图形的 API，可通过查询参数生成 PNG/SVG 图像",https://quickchart.io,是
Colormind,"AI 配色方案生成器，提供随机或指定输入的颜色搭配方案",http://colormind.io/api-access,未知
ColourLovers,"获取社区共享的颜色配色和图案等设计素材",https://www.colourlovers.com/api,未知
ReSmush.it,"免费的图片优化压缩 API，上传图像即可获取优化后的版本",https://resmush.it/api,未知
Screenshotlayer,"将网页 URL 转换为截图图片的服务，可用于网页缩略图生成",https://screenshotlayer.com,未知
Imsea Image Search,"简单的图片搜索 API，返回查询关键词的图片列表",https://imsea.herokuapp.com,未知
Trace.moe,"通过动漫截图搜索出处的 API，上传图片即可识别出自哪部动画",https://soruly.github.io/trace.moe-api,否
Art Institute of Chicago API,"芝加哥艺术博物馆开放接口，提供馆藏艺术品的数据和高清图像",https://api.artic.edu/docs,是
Metropolitan Museum of Art API,"大都会艺术博物馆公开接口，可获取馆藏艺术品信息和图片",https://metmuseum.github.io,否
EmojiHub,"按照类别获取 Emoji 列表的 API，可用于表情符号相关应用",https://github.com/cheatsnake/emojihub,是
Icon Horse,"通过网站 URL 获取该站点的 Favicon 图标（PNG/SVG），便于生成链接预览",https://icon.horse,是
Xeno-canto,"鸟类叫声开放数据库，提供按物种搜索鸟鸣音频和元数据的 API",https://xeno-canto.org/explore/api,未知
Lyrics.ovh,"简单的歌词查询接口，提供根据歌曲和艺人名称获取歌词的功能",https://lyricsovh.docs.apiary.io,未知
